datetime_utc,elapsed_s,window_s,centroid_cs,delta_pct,counts_in_window,total_counts,status
2026-07-03T08:56:15.450763+00:00,60.05535979999695,60,1434.6456666358715,0.0,5325516,24305029,BASELINE
2026-07-03T08:57:15.514979+00:00,120.11959439999191,60,1434.5269086844448,0.0,5582510,25471797,BASELINE
2026-07-03T08:58:15.579375+00:00,180.1840111000056,60,1434.511317730909,0.0,5839819,26630192,BASELINE
2026-07-03T08:59:15.632093+00:00,240.23674709998886,60,1434.5273403503247,0.0,6096630,27782725,BASELINE
2026-07-03T09:00:15.694277+00:00,300.2973473999882,60,1434.579317947682,0.0,6356052,28945909,BASELINE
2026-07-03T09:01:15.754490+00:00,360.3590879999974,60,1434.567955494397,0.002831256186608742,6618133,30112444,OK
2026-07-03T09:02:15.767691+00:00,420.3723001999897,60,1434.7554706642923,0.015902820918828123,6871012,31326464,OK
2026-07-03T09:03:15.821319+00:00,480.4259447999939,60,1434.486110727454,-0.002874091117755811,7131655,32748297,OK
2026-07-03T09:04:15.828312+00:00,540.4329585999949,60,1434.4677523220619,-0.004153844028396101,7385462,33617318,OK
2026-07-03T09:05:15.895746+00:00,600.5003682000097,60,1434.4050013252645,-0.008528176606961814,7768261,34947340,OK
2026-07-03T09:06:15.962967+00:00,660.5675940999936,60,1434.4831771165013,-0.0030785912949277067,7895436,35948639,OK
2026-07-03T09:07:15.971886+00:00,720.5764635000087,60,1434.4349459695668,-0.006440754258148886,8151332,37098113,OK
2026-07-03T09:08:16.026142+00:00,780.6307667999936,60,1434.4503319049918,-0.005368210362175159,8406020,38235806,OK
2026-07-03T09:09:16.039316+00:00,840.6439032999915,60,1434.479153229458,-0.003359093933681784,8657552,39415426,OK
2026-07-03T09:10:16.099771+00:00,900.7044006999931,60,1434.4640806340676,-0.0044097950926232435,8910973,40557068,OK
2026-07-03T09:11:16.163366+00:00,960.7679936999921,60,1434.4726395192145,-0.003813160584092374,9166999,41757128,OK
2026-07-03T09:12:16.175839+00:00,1020.780434299988,60,1434.4860326933624,-0.0028795308252702588,9419282,42923710,OK
2026-07-03T09:13:16.228063+00:00,1080.8325781000021,60,1434.5298568012659,0.00017542021475276955,9681161,44099776,OK
2026-07-03T09:14:16.243229+00:00,1140.8478347999917,60,1434.5471484173684,0.0013808079139714284,9938446,45267182,OK
2026-07-03T09:15:16.292872+00:00,1200.897530599992,60,1434.539881779725,0.0008742551673627364,10191822,46426624,OK
2026-07-03T09:16:16.350793+00:00,1260.9553836999985,60,1434.5241326932703,-0.0002236037588265403,10446679,47588442,OK
2026-07-03T09:17:16.407179+00:00,1321.0117949999985,60,1434.4714319933598,-0.0038973364530813753,10699889,48744877,OK
2026-07-03T09:18:16.472244+00:00,1381.0768368999998,60,1434.4637620704596,-0.004432001961680462,10950805,49903681,OK
2026-07-03T09:19:16.528697+00:00,1441.133286700002,60,1434.4545153912163,-0.005076582164730142,11212694,51071822,OK
2026-07-03T09:20:16.594984+00:00,1501.1995636000065,60,1434.4788718001837,-0.003378712191653842,11469174,52213267,OK
2026-07-03T09:21:16.644815+00:00,1561.249399799999,60,1434.5534285318295,0.0018185907490878442,11724625,53362523,OK
2026-07-03T09:22:16.706006+00:00,1621.310592599999,60,1434.5874357337823,0.004189211440396038,11981217,54526157,OK
2026-07-03T09:23:16.788405+00:00,1681.3930369000009,60,1434.6012009558294,0.005148776424621388,12238585,56342392,OK
2026-07-03T09:24:16.846438+00:00,1741.4510441999882,60,1434.588845379239,0.004287476939917048,12704206,57127544,OK
2026-07-03T09:25:16.927726+00:00,1801.5323597000097,60,1434.6285862481966,0.0070577879573317645,12755287,58041426,OK
2026-07-03T09:26:16.983284+00:00,1861.5879363999993,60,1434.6308793647008,0.007217639668744507,13010313,59196459,OK
2026-07-03T09:27:17.055457+00:00,1921.6600976999907,60,1434.6283381812902,0.0070404953690782,13265382,60356790,OK
2026-07-03T09:28:17.122982+00:00,1981.7275889999873,60,1434.630008691989,0.007156945620786281,13520496,61523497,OK
2026-07-03T09:29:17.200712+00:00,2041.8052204000123,60,1434.6469184823397,0.008335716486645677,13774414,62684596,OK
2026-07-03T09:30:17.262607+00:00,2101.867246400012,60,1434.615904272396,0.0061737353886603735,14029224,63836476,OK
2026-07-03T09:31:17.319723+00:00,2161.9242920000106,60,1434.571188787925,0.0030566470479056716,14284314,64999351,OK
2026-07-03T09:32:17.379634+00:00,2221.984223800013,60,1434.5669982102193,0.0027645245077620975,14539769,66162014,OK
2026-07-03T09:33:17.434073+00:00,2282.038662100007,60,1434.5867975774904,0.0041447259660575275,14794906,67317057,OK
2026-07-03T09:34:17.494867+00:00,2342.0994580000115,60,1434.5792958750449,0.0036217869997133972,15048721,68481651,OK
2026-07-03T09:35:17.554339+00:00,2402.158976400009,60,1434.5519268503201,0.001713909474140068,15306041,69642373,OK
2026-07-03T09:36:17.612344+00:00,2462.217010099994,60,1434.551837553482,0.0017076846476394131,15564064,70803844,OK
2026-07-03T09:37:17.681875+00:00,2522.2864835000073,60,1434.5618776469134,0.002407573255473074,15822911,71979943,OK
2026-07-03T09:38:17.745959+00:00,2582.3505903999903,60,1434.5356134244832,0.0005767108040271565,16077252,74024564,OK
2026-07-03T09:39:17.819902+00:00,2642.4244603000116,60,1434.487915945617,-0.002748250493299093,16615243,74651148,OK
2026-07-03T09:40:17.897856+00:00,2702.50246779999,60,1434.567890896912,0.002826753136505588,16601180,75523443,OK
2026-07-03T09:41:17.953651+00:00,2762.5582651000004,60,1434.5115953049985,-0.0010975772216609966,16863722,76684931,OK
2026-07-03T09:42:18.034058+00:00,2822.6387197999866,60,1434.4531396575703,-0.005172483693219961,17125323,77843329,OK
2026-07-03T09:43:18.094767+00:00,2882.6993766000087,60,1434.461288080994,-0.004604462213629297,17384000,78999164,OK
2026-07-03T09:44:18.166245+00:00,2942.7708724999975,60,1434.5094261211657,-0.0012487896643822475,17642888,80160916,OK
2026-07-03T09:45:18.230520+00:00,3002.8351014000073,60,1434.5340822003216,0.0004699701293386401,17899930,81332020,OK
2026-07-03T09:46:18.288975+00:00,3062.893634600012,60,1434.5529860816348,0.001787747823880113,18154862,82484022,OK
2026-07-03T09:47:18.348109+00:00,3122.9526999999944,60,1434.574943504367,0.003318385973083674,18410715,83626899,OK
2026-07-03T09:48:18.410882+00:00,3183.0155034000054,60,1434.6069531562828,0.005549758705791378,18667925,84786224,OK
2026-07-03T09:49:18.466296+00:00,3243.0709194999945,60,1434.6300556735118,0.007160220673244784,18920847,85953201,OK
2026-07-03T09:50:18.528148+00:00,3303.132796299993,60,1434.6507307825145,0.008601469537671899,19170341,87113373,OK
2026-07-03T09:51:18.584051+00:00,3363.1886731999984,60,1434.6560019473523,0.008968919128171536,19423296,88273209,OK
2026-07-03T09:52:18.650075+00:00,3423.254706800013,60,1434.651748507134,0.008672414481756308,19682276,89438204,OK
2026-07-03T09:53:18.726854+00:00,3483.331447100005,60,1434.6857532239196,0.011042861933618644,19941487,91681965,OK
2026-07-03T09:54:18.785845+00:00,3543.390506900003,60,1434.6411752520269,0.007935359508334553,20535306,92171802,OK
2026-07-03T09:55:18.858431+00:00,3603.462999499985,60,1434.665911949784,0.009659739174120057,20456236,92978454,OK
2026-07-03T09:56:18.931189+00:00,3663.535729700001,60,1434.6397859419296,0.007838511573955072,20707465,94132439,OK
2026-07-03T09:57:18.989985+00:00,3723.594581399986,60,1434.64857881975,0.008451457564801241,20966693,95295785,OK
2026-07-03T09:58:19.071405+00:00,3783.6759665000136,60,1434.656186237775,0.008981765897808509,21222891,96462422,OK
2026-07-03T09:59:19.135273+00:00,3843.7399010999943,60,1434.6683192223293,0.009827548631462422,21476029,97619320,OK
2026-07-03T10:00:19.200231+00:00,3903.8048170999973,60,1434.6545576258402,0.008868236382612924,21729219,98784446,OK
2026-07-03T10:01:19.261521+00:00,3963.866092799988,60,1434.6837464660705,0.010902972104217368,21988978,99957294,OK
2026-07-03T10:02:19.321342+00:00,4023.925956699997,60,1434.6701954540927,0.009958339569398246,22240312,101115629,OK
2026-07-03T10:03:19.384726+00:00,4083.989389399998,60,1434.6184466519708,0.006350963072185245,22491843,102274015,OK
2026-07-03T10:04:19.447441+00:00,4144.052085300005,60,1434.624274949282,0.0067572500175237145,22746857,103437203,OK
2026-07-03T10:05:19.496335+00:00,4204.1009500999935,60,1434.630530102187,0.007193292798251847,23003395,104601122,OK
2026-07-03T10:06:19.553027+00:00,4264.157558400009,60,1434.6196242606165,0.006433053431333658,23258568,105755542,OK
2026-07-03T10:07:19.611600+00:00,4324.216195299989,60,1434.6225295504896,0.006635579363837685,23518392,106915337,OK
2026-07-03T10:08:19.691312+00:00,4384.295912500005,60,1434.6135981715838,0.006012978549299112,23775770,109365198,OK
2026-07-03T10:09:19.763800+00:00,4444.368399600004,60,1434.5706701653792,0.003020494195939635,24434894,109716963,OK
2026-07-03T10:10:19.820219+00:00,4504.424836399994,60,1434.6487227794812,0.008461492907262447,24297801,110448179,OK
2026-07-03T10:11:19.891325+00:00,4564.4959769000125,60,1434.6409278174424,0.007918110998841533,24553882,111599057,OK
2026-07-03T10:12:19.958716+00:00,4624.563310700003,60,1434.6317191959524,0.007276183777871865,24813460,112748004,OK
2026-07-03T10:13:20.028936+00:00,4684.633599599998,60,1434.621195269175,0.00654256745132955,25073850,113907558,OK
2026-07-03T10:14:20.112509+00:00,4744.7171147000045,60,1434.6159528118178,0.006177119041275645,25335496,115072434,OK
2026-07-03T10:15:20.169546+00:00,4804.77415360001,60,1434.5964622285012,0.004818442718532952,25589612,116231914,OK
2026-07-03T10:16:20.224705+00:00,4864.829316999996,60,1434.5940233866972,0.004648432587993709,25846745,117391633,OK
2026-07-03T10:17:20.341092+00:00,4924.945669500012,60,1434.6068459199266,0.005542283326749998,26101357,118560105,OK
2026-07-03T10:18:20.412024+00:00,4985.016631900013,60,1434.5921754526469,0.004519614265860982,26351224,119723225,OK
2026-07-03T10:19:20.468544+00:00,5045.073175199999,60,1434.5839213552565,0.003944226320424711,26611111,120881659,OK
2026-07-03T10:20:20.528798+00:00,5105.133312099992,60,1434.5788892621263,0.003593442268514584,26869994,122056581,OK
2026-07-03T10:21:20.587983+00:00,5165.19252099999,60,1434.5654656616541,0.002657691509740384,27129612,123228408,OK
2026-07-03T10:22:20.667236+00:00,5225.271831399994,60,1434.565874975632,0.002686224530079885,27392420,125846399,OK
2026-07-03T10:23:20.742737+00:00,5285.347377500002,60,1434.5571156677918,0.0020756186814665156,28119202,126185448,OK
2026-07-03T10:24:20.805557+00:00,5345.410158399987,60,1434.5617814839914,0.002400869798565272,27919959,126786329,OK
2026-07-03T10:25:20.861343+00:00,5405.465994500002,60,1434.5699919712122,0.0029732177064703863,28169881,127933900,OK
2026-07-03T10:26:20.936642+00:00,5465.541268400004,60,1434.5579188850184,0.0021316104499036074,28424071,129079455,OK
2026-07-03T10:27:21.019923+00:00,5525.624567799998,60,1434.540876402547,0.0009435896996498924,28675065,130225707,OK
2026-07-03T10:28:21.089131+00:00,5585.693777899985,60,1434.566215078582,0.0027099328931420637,28929166,131382562,OK
2026-07-03T10:29:21.197824+00:00,5645.802380500012,60,1434.5822540616095,0.0038280003273702167,29178395,132542613,OK
2026-07-03T10:30:21.257703+00:00,5705.862268099998,60,1434.6049827621714,0.0054124037697128235,29435842,133709455,OK
2026-07-03T10:31:21.320516+00:00,5765.925109700009,60,1434.6301979567481,0.007170139148292165,29693254,134883894,OK
2026-07-03T10:32:21.431720+00:00,5826.036323899985,60,1434.606574380055,0.005523354452828865,29946489,136059506,OK
2026-07-03T10:33:21.501962+00:00,5886.106168099999,60,1434.6064560583063,0.005515106318035005,30200099,137223801,OK
2026-07-03T10:34:21.577634+00:00,5946.182175599999,60,1434.602582801229,0.0052451039996069615,30453292,138690830,OK
2026-07-03T10:35:21.707864+00:00,6006.3124487999885,60,1434.5624200081463,0.00244538091640909,31218804,141481520,OK
2026-07-03T10:36:21.787321+00:00,6066.3919134000025,60,1434.6246329672572,0.006782207225740568,30967605,140754987,OK
2026-07-03T10:37:21.855776+00:00,6126.460401999997,60,1434.5969610017473,0.004853211888287088,31221604,141886029,OK
2026-07-03T10:38:21.926141+00:00,6186.530624400009,60,1434.5938365883173,0.004635410990241896,31479059,143031552,OK
2026-07-03T10:39:21.995417+00:00,6246.600028999994,60,1434.567890507595,0.0028267259974504985,31738384,144197713,OK
2026-07-03T10:40:22.064736+00:00,6306.669318500004,60,1434.5655478487204,0.002663420718514807,31997282,145358925,OK
2026-07-03T10:41:22.164689+00:00,6366.7692917000095,60,1434.608837462515,0.005681112509886954,32251588,146511846,OK
2026-07-03T10:42:22.239085+00:00,6426.843710799993,60,1434.6240953930746,0.00674473326707671,32502653,147660334,OK
2026-07-03T10:43:22.350055+00:00,6486.95464750001,60,1434.628821146808,0.007074162592008814,32755317,148809816,OK
2026-07-03T10:44:22.481309+00:00,6547.085919100005,60,1434.6300209456772,0.007157799817701046,33011585,149983794,OK
2026-07-03T10:45:22.616669+00:00,6607.221271699993,60,1434.6227230577,0.006649068629941349,33271649,152954459,OK
2026-07-03T10:46:22.695020+00:00,6667.299597400008,60,1434.6229076979257,0.006661939784127934,34088768,152982270,OK
2026-07-03T10:47:22.826495+00:00,6727.431060800009,60,1434.6173536031467,0.00627476732510628,33789951,153529571,OK
2026-07-03T10:48:22.968347+00:00,6787.572951899987,60,1434.6046614483835,0.005390005187343722,34050790,154666384,OK
2026-07-03T10:49:23.046017+00:00,6847.650553399988,60,1434.607315808992,0.005575038998409494,34313225,155827021,OK
2026-07-03T10:50:23.159295+00:00,6907.763852100004,60,1434.5962097170761,0.0048008403056714055,34574886,156994526,OK
2026-07-03T10:51:23.280570+00:00,6967.885163900006,60,1434.5963291364333,0.004809164954060784,34826737,158144319,OK
2026-07-03T10:52:23.386894+00:00,7027.991491299996,60,1434.5992319550915,0.005011518619727172,35086490,159301587,OK
